question,answer,unit,category,funFact
Price of a Pizza Hut 'Pan Pizza' (Regular size) in Dhaka in 2024,850,BDT,Price,Pizza Hut entered Bangladesh in 2003 and has expanded rapidly.
Price of a Burger King 'Whopper' single burger in Dhaka in 2024,490,BDT,Price,Burger King opened its first Bangladesh outlet in 2019.
Price of a KFC 2-piece chicken combo in Dhaka in 2024,410,BDT,Price,KFC has been operating in Bangladesh since 2006.
Price of a CC (Crescent Coffee) Latte in Dhaka cafes in 2024,280,BDT,Price,Crescent Coffee is one of the popular local specialty coffee chains.
Price of a Daraz Express delivery within Dhaka city (standard) in 2024,60,BDT,Price,Same-day delivery within Dhaka costs slightly more than standard.
Price of a single 'Tehari' plate at Haji's Old Dhaka in 2024,220,BDT,Price,Haji Biryani in Old Dhaka has been operating since 1939.
Price of a Pathao bike ride from Banani to Gulshan-1 (avg 2024),60,BDT,Price,Pathao bike fares vary with traffic and time-of-day surge pricing.
Price of an Uber Premier ride from Dhanmondi to Banani (avg 2024),350,BDT,Price,Uber Premier offers sedan-class cars with professional drivers.
Cost of a single visa fee for Bangladesh on-arrival (US passport) in USD (2024),51,USD,Price,The fee covers a 30-day single-entry tourist visa.
Cost of a Biman Bangladesh economy ticket Dhaka to Sylhet (one-way 2024),4500,BDT,Price,Domestic flight prices fluctuate based on season and demand.
Cost of a US Bangla economy ticket Dhaka to Cox's Bazar (one-way 2024),5500,BDT,Price,Cox's Bazar flights peak in winter when tourism is at its highest.
Price of one US dollar in BDT (taka) in the year 2000,52,BDT,Price,The taka has steadily depreciated against the dollar over the past 25 years.
Price of one US dollar in BDT in 2024,122,BDT,Price,Bangladesh shifted to a flexible exchange rate regime in 2023.
Price of one British pound in BDT in 2024,154,BDT,Price,GBP-BDT rates fluctuate based on global currency markets.
Price of an iPhone 11 Pro 256GB at US launch in 2019,1149,USD,Price,Apple's first 'triple-camera' Pro iPhone introduced Night Mode.
Price of the original Microsoft Surface RT tablet at US launch (2012),499,USD,Price,It was Microsoft's first self-branded computing device.
Launch price of the Tesla Model S (base) in USD (2012),57400,USD,Price,The Model S helped establish Tesla as a serious automotive brand.
Launch price of the original Roku player in USD (2008),99,USD,Price,It was the first dedicated Netflix streaming device.
Launch price of the original Amazon Kindle Fire tablet in USD (2011),199,USD,Price,Amazon's tablet was one of the first major iPad competitors.
Launch price of the original DJI Phantom drone in USD (2013),679,USD,Price,It mainstreamed consumer drones with auto-stabilization.
Launch price of the GoPro HERO (original) in USD (2004),30,USD,Price,"The original was a 35mm wrist-strapped film camera, not the digital one."
Average annual in-state tuition at a US public 4-year college in 2024,11260,USD,Price,"College Board's official average; private 4-year tuition averages over $40,000."
Average monthly rent for a one-bedroom apartment in NYC (2024),4500,USD,Price,Manhattan rents hit record highs across nearly every neighborhood.
Average monthly rent for a one-bedroom apartment in San Francisco (2024),3400,USD,Price,"Despite tech layoffs, SF rent remained among the highest in the US."
"Average monthly rent for a one-bedroom apartment in Dallas, TX (2024)",1500,USD,Price,Texas has been a major destination for cost-of-living migrants.
Average price of a wedding in the US in 2024 (rounded thousand),33,thousand USD,Price,The Knot's annual wedding study tracks this benchmark every year.
Average cost of one therapy session out-of-pocket in the US (2024),150,USD,Price,"Without insurance, this is the typical session cost for a licensed therapist."
Average cost of an Uber ride 5 miles in NYC during peak hours (2024),25,USD,Price,NYC has some of the highest Uber surge pricing in the country.
Average price of a NFL Super Bowl ticket in 2024 (rounded thousand),9,thousand USD,Price,Resale tickets for Super Bowl LVIII in Las Vegas hit record highs.
Launch price of the iconic Sony Walkman in USD (1979),150,USD,Price,It launched portable music decades before the iPod.
Launch price of the original Furby in USD (1998),35,USD,Price,The interactive plush toy was a cultural phenomenon during the holiday season.
Launch price of the original Beanie Babies in USD (1993),5,USD,Price,They were collectibles that sparked a speculative bubble in the late 1990s.
Launch price of the Polaroid SX-70 instant camera in USD (1972),180,USD,Price,Edwin Land's foldable SLR became the iconic instant camera design.
Cost of a single Hot Wheels car in US stores in 2024,1,USD,Price,The diecast toy car brand was launched by Mattel in 1968.
Average cost of a YouTube TV monthly subscription in the US (2024),73,USD,Price,YouTube TV has steadily raised prices since launching at $35 in 2017.
Number of hearts a giraffe has,1,heart,Weird Facts,But it's massive — about 25 pounds — to pump blood up that long neck.
Number of chambers in a giraffe's heart,4,chambers,Weird Facts,"Same as humans, but with much thicker walls due to high blood pressure needs."
Weight of a blue whale's tongue in kilograms (rounded),2700,kg,Weird Facts,That's heavier than most cars — a single blue whale tongue weighs as much as an elephant.
Maximum number of years a koi fish can live,226,years,Weird Facts,"The oldest known koi, Hanako, lived in Japan and died in 1977 at age 226."
Number of stomachs a dolphin has,3,stomachs,Weird Facts,Each chamber handles a different part of digestion — like a mini food processor.
Length of a giraffe's tongue in centimeters (rounded),50,cm,Weird Facts,It's also blue-black to protect against sunburn while feeding for hours.
Number of pounds of waste a single cow produces per day (rounded),65,pounds,Weird Facts,Cow waste is a major source of methane emissions globally.
Maximum number of eggs a single queen termite can lay in a day,30000,eggs,Weird Facts,"A termite queen can live for 50 years, producing millions of eggs in her lifetime."
Number of years a Galapagos tortoise can live (max recorded),175,years,Weird Facts,"Harriet, brought back by Darwin in 1835, allegedly lived until 2006."
Speed of the fastest fish in the ocean in mph (sailfish),68,mph,Weird Facts,"Sailfish are the fastest fish, faster than most cars in city traffic."
Maximum recorded length of a giant squid tentacle in feet,33,feet,Weird Facts,Their eyes are also the largest of any animal — bigger than basketballs.
Length of all the blood vessels in an adult human body in miles,60000,miles,Weird Facts,"End to end, your blood vessels could wrap around Earth twice."
Number of cells the average human body sheds per day (millions),50000,thousand,Weird Facts,Most of household dust is actually dead human skin cells.
Average number of times a person blinks per day,28800,times,Weird Facts,"That's about 20 blinks per minute, adding up to over 28,000 in a waking day."
Length of food the average human eats over a lifetime (tons),30,tons,Weird Facts,That's the weight of 6 elephants — consumed across an 80-year lifespan.
Number of taste buds in the average human mouth (including non-tongue),10000,taste buds,Weird Facts,"Taste buds exist on the cheeks, roof of mouth, and even the throat."
Maximum decibel level of a human scream ever recorded,129,decibels,Weird Facts,Jill Drake's 2000 record-breaking scream was louder than a jet engine at takeoff.
Average number of dreams a person has per night (REM cycles),4,dreams,Weird Facts,Most are forgotten within 5 minutes of waking up.
Maximum recorded surface temperature on Earth in Fahrenheit,134,degrees F,Weird Facts,"Recorded in Death Valley, California, on July 10, 1913."
Number of countries the Sahara Desert covers,11,countries,Weird Facts,It's the largest hot desert in the world and still growing southward.
Depth of the Mariana Trench in feet (rounded),36070,feet,Weird Facts,It's deeper than Mount Everest is tall — by more than a kilometer.
Number of countries where Spanish is an official language,21,countries,Weird Facts,It's the second-most spoken native language after Mandarin Chinese.
Maximum wind speed ever recorded in a tornado in mph,318,mph,Weird Facts,Recorded by Doppler radar during the 1999 Oklahoma F5 tornado.
Number of pyramids ever built in ancient Egypt (approximate),138,pyramids,Weird Facts,"Most are now in ruins, with only a fraction surviving as recognizable structures."
Number of years it took to build the Great Wall of China (total estimate),2000,years,Weird Facts,Construction spanned multiple dynasties starting in the 7th century BC.
Maximum number of pieces in the world's largest jigsaw puzzle ever made,60000,pieces,Weird Facts,"Officially released by Kodak in 2020, it took months to assemble."
"Maximum recorded length of human hair in feet (Xie Qiuping, 2004)",18,feet,Weird Facts,Xie Qiuping had not cut her hair since 1973 when the record was set.
"Maximum recorded length of fingernails ever (Lee Redmond, 2008)",28,feet,Weird Facts,Her combined nail length set the Guinness World Record before being lost in a car accident.
Number of dimples on a standard golf ball,336,dimples,Weird Facts,Dimples reduce air drag and let the ball travel much farther.
Number of cards in a standard tarot deck,78,cards,Weird Facts,Tarot includes 22 Major Arcana and 56 Minor Arcana cards.
Number of pieces in a standard chess game per side,16,pieces,Weird Facts,"Each side starts with 8 pawns, 2 rooks, 2 knights, 2 bishops, 1 queen, 1 king."
Maximum number of squares on a Rubik's Cube of one color,9,squares,Weird Facts,Each face has 9 squares; the cube has 6 faces of 6 different colors.
"Maximum age of the oldest tree species (bristlecone pine, in years)",5000,years,Weird Facts,Methuselah in California is one of the oldest known individual trees.
Height of the tallest tree in the world in feet (Hyperion redwood),380,feet,Weird Facts,"It's taller than the Statue of Liberty, growing in Redwood National Park."
Maximum recorded age of a giant sequoia tree,3500,years,Weird Facts,Some redwoods alive today were saplings before the Roman Empire fell.
Number of bananas the average American eats per year (2024),27,bananas,Weird Facts,Bananas are the most consumed fresh fruit in the United States.
Maximum length of a bamboo plant grown in a single day in cm,91,cm,Weird Facts,Bamboo is the fastest-growing plant on Earth — some species grow 3 feet per day.
Maximum number of moons orbiting Saturn (confirmed as of 2024),146,moons,Weird Facts,Saturn overtook Jupiter for the most moons after 62 new ones were discovered in 2023.
Number of moons of Jupiter (confirmed as of 2024),95,moons,Weird Facts,Jupiter has the most massive moons but Saturn now has the most by count.
Average distance from Earth to Mars in millions of km (closest),54,million km,Weird Facts,The distance varies dramatically — Mars can be up to 400 million km away.
Number of stars in the Milky Way galaxy in billions (estimate),200,billion,Weird Facts,Astronomers estimate between 100 and 400 billion stars in our galaxy.
Maximum age of the universe in billions of years,14,billion,Weird Facts,The currently accepted age of the universe is approximately 13.8 billion years.
Number of grooves on the edge of a US quarter,119,grooves,Weird Facts,Originally added to prevent shaving precious metal off coin edges.
Number of holes in a standard 5-hole Polo mint,1,hole,Weird Facts,Trick question — there's just one hole per mint. The phrase is a marketing line.
Number of Olympic rings on the official flag,5,rings,Weird Facts,The rings represent the five participating continents of the Olympic movement.
Number of pips on a standard pair of dice combined,42,pips,Weird Facts,"Each die has 21 pips, so a pair has 42 total dots."
Number of Crayola crayon colors in the original 1903 box,8,colors,Weird Facts,"The original eight: red, orange, yellow, green, blue, purple, black, brown."
Number of Crayola crayon colors in the largest standard box (2024),152,colors,Weird Facts,"Crayola has retired some colors over the years, including 'Indian Red' in 1999."
Number of films in Phase 1 of the Marvel Cinematic Universe,6,films,Global,Phase 1 culminated with The Avengers (2012).
Number of films in Phase 4 of the Marvel Cinematic Universe,7,films,Global,"Phase 4 included Eternals, Black Widow, and Doctor Strange in the Multiverse of Madness."
Worldwide box office of Avengers: Endgame in billions USD (rounded),2,billion USD,Global,It briefly held the all-time box office record before Avatar's 2021 re-release.
Year the first Iron Man movie launched the MCU,2008,year,Global,Robert Downey Jr.'s casting transformed both his career and superhero cinema.
Number of Infinity Stones in the MCU storyline,6,stones,Global,"Mind, Soul, Space, Power, Time, and Reality stones."
Number of films in the Star Wars main 'Skywalker Saga',9,films,Global,The saga spans three trilogies from 1977 to 2019.
Year the original Star Wars film was released,1977,year,Global,"Originally titled simply 'Star Wars', later renamed 'A New Hope'."
Number of canonical Jedi councils shown in the prequel trilogy,1,council,Global,The Jedi High Council oversees the Order from the Coruscant temple.
Number of seasons of HBO's Game of Thrones,8,seasons,Global,It ran from 2011 to 2019 and remains one of the most-watched dramas ever.
Number of episodes in Breaking Bad (total),62,episodes,Global,The show ran for 5 seasons from 2008 to 2013.
Number of episodes in Friends (total),236,episodes,Global,The sitcom ran for 10 seasons from 1994 to 2004 on NBC.
Number of seasons of The Office (US),9,seasons,Global,It originally aired on NBC from 2005 to 2013.
Year Netflix's 'Stranger Things' first premiered,2016,year,Global,The Duffer Brothers' nostalgic sci-fi series became a cultural phenomenon.
Number of seasons of HBO's The Wire,5,seasons,Global,Each season focused on a different Baltimore institution.
Year the first Harry Potter film was released,2001,year,Global,Harry Potter and the Philosopher's Stone launched the eight-film series.
Total number of films in the Harry Potter main series,8,films,Global,The seventh book was split into two films for the final installment.
Total number of Harry Potter books in the main series,7,books,Global,Written by J.K. Rowling between 1997 and 2007.
Worldwide box office gross of Avatar (original) in billions USD (rounded),3,billion USD,Global,"Including re-releases, Avatar (2009) remains the highest-grossing film of all time."
Year Squid Game first premiered on Netflix,2021,year,Global,It became Netflix's most-watched series within weeks of launch.
Number of contestants in the original Squid Game (Season 1),456,contestants,Global,"Player 456, played by Lee Jung-jae, becomes the eventual winner."
Year Minecraft was first released to the public,2011,year,Global,Minecraft became the best-selling video game of all time.
"Number of copies of Minecraft sold worldwide (millions, as of 2023)",300,million,Global,Microsoft acquired Mojang and Minecraft for $2.5 billion in 2014.
Year the first Pokemon games (Red & Blue) launched in the US,1998,year,Global,The games launched in Japan in 1996 as Red and Green.
Number of original Pokemon in Generation 1 (Kanto),151,Pokemon,Global,The original 151 Pokemon ranged from Bulbasaur to Mew.
"Number of Grand Theft Auto V copies sold worldwide (millions, 2024)",200,million,Global,GTA V is the most profitable entertainment product of all time.
Year Fortnite Battle Royale was released to the public,2017,year,Global,Epic Games' battle royale became a global cultural phenomenon.
Number of players in a single Fortnite Battle Royale match,100,players,Global,The standard mode drops 100 players onto an island with shrinking storm boundaries.
Year MTV first launched in the US,1981,year,Global,The first music video aired was 'Video Killed the Radio Star' by The Buggles.
Number of studio albums released by The Beatles,13,albums,Global,From Please Please Me (1963) to Let It Be (1970).
Year Spotify was founded in Sweden,2006,year,Global,It launched publicly in 2008 and is now the world's largest music streaming service.
Number of times Taylor Swift has won Album of the Year at the Grammys,4,times,Global,She is the only artist in history to win Album of the Year four times.
Year BTS officially debuted as a K-pop group,2013,year,Global,The group debuted with single album '2 Cool 4 Skool' under Big Hit Entertainment.
Number of members in K-pop group BTS,7,members,Global,"RM, Jin, Suga, J-Hope, Jimin, V, and Jungkook."
Year Beyonce's debut solo album 'Dangerously in Love' was released,2003,year,Global,It launched her solo career while still part of Destiny's Child.
Number of Grammy Awards won by Beyonce (as of 2024),32,Grammys,Global,She has won more Grammys than any other artist in history.
Year Facebook was founded by Mark Zuckerberg,2004,year,Global,It started at Harvard before expanding to other universities.
Year YouTube was founded,2005,year,Global,It was acquired by Google for $1.65 billion in 2006.
Year Instagram was launched,2010,year,Global,It was acquired by Facebook for $1 billion in 2012.
Year TikTok was launched internationally (formerly Musical.ly),2018,year,Global,ByteDance merged Musical.ly into TikTok in August 2018.
Year ChatGPT was released to the public by OpenAI,2022,year,Global,"It became the fastest-growing consumer app, hitting 100M users in 2 months."
Year Twitter was founded,2006,year,Global,It was renamed 'X' after Elon Musk's 2022 acquisition.
Cost of Elon Musk's Twitter acquisition in billions USD (rounded) (2024),44,billion USD,Global,The deal closed in October 2022 after months of legal battles.
Year Tesla was founded (as Tesla Motors),2003,year,Global,Founded by Martin Eberhard and Marc Tarpenning; Musk joined as chairman in 2004.
Year Neil Armstrong walked on the Moon,1969,year,Global,"Apollo 11 landed on July 20, 1969."
Year the International Space Station was first launched,1998,year,Global,"The first module, Zarya, launched in November 1998."
Year SpaceX was founded by Elon Musk,2002,year,Global,Its goal is to eventually enable human colonization of Mars.
Year SpaceX's first successful orbital launch (Falcon 1),2008,year,Global,"After three failures, the fourth Falcon 1 launch finally reached orbit."
Number of astronauts who have walked on the Moon,12,astronauts,Global,"All American, all between 1969 and 1972 during the Apollo program."
Year the Hubble Space Telescope launched,1990,year,Global,It has been continuously upgraded by Space Shuttle servicing missions.
Year the James Webb Space Telescope launched,2021,year,Global,"It was launched on Christmas Day, December 25, 2021."
Number of countries that participated in the 2024 Paris Olympics,206,countries,Global,The Refugee Olympic Team also competed as a separate delegation.
Year the Olympic Games were first held in ancient Greece,776,BC,Global,"Held at Olympia, the ancient Olympics ran for nearly 12 centuries."
Year the modern Olympic Games were revived in Athens,1896,year,Global,Pierre de Coubertin spearheaded the modern Olympic movement.
Number of countries in the European Union as of 2024,27,countries,Global,Down from 28 after Brexit took effect in 2020.
Year the Berlin Wall fell,1989,year,Global,It marked the symbolic end of the Cold War and German division.
Year the Euro currency was officially introduced for cash use,2002,year,Global,"Euro banknotes and coins began circulating on January 1, 2002."
Highest team total ever scored in a Test cricket innings,952,runs,Sports,Sri Lanka scored 952/6 declared against India in 1997 at Colombo.
Highest individual score in an ODI cricket innings,264,runs,Sports,Rohit Sharma scored 264 against Sri Lanka in 2014.
Highest individual Test cricket score by any player,400,runs,Sports,Brian Lara scored 400 not out against England in 2004 in Antigua.
Most runs scored in international cricket career (all formats),34357,runs,Sports,"Sachin Tendulkar holds this record across Test, ODI and T20I formats."
Most wickets taken in ODI cricket career,534,wickets,Sports,Sri Lanka's Muttiah Muralitharan holds this ODI bowling record.
Highest ICC ranking points ever achieved by a Test batsman (2024),961,points,Sports,Don Bradman's 1948 rating remains the all-time highest in ICC rankings.
Most Test centuries scored by Sachin Tendulkar,51,centuries,Sports,He scored 51 Test centuries and 49 ODI centuries for a total of 100.
Year the IPL (Indian Premier League) cricket was launched,2008,year,Sports,The IPL revolutionized cricket with franchise-based T20 leagues.
Highest team total ever scored in an IPL match,287,runs,Sports,Sunrisers Hyderabad scored 287/3 against Royal Challengers Bengaluru in 2024.
Number of teams in the 2024 ICC T20 World Cup,20,teams,Sports,"It was the largest T20 World Cup ever held, co-hosted by USA and West Indies."
Year the first T20 International cricket match was played,2005,year,Sports,"Australia vs New Zealand at Eden Park, Auckland."
Highest score chased successfully in Test cricket history,418,runs,Sports,West Indies chased 418 against Australia in 2003 in Antigua.
Number of balls Sachin Tendulkar faced for his record 200* in ODI,147,balls,Sports,He became the first male player to score a double century in an ODI in 2010.
Year Bangladesh whitewashed Pakistan 3-0 in an ODI series,2015,year,Sports,It was a historic series win at home for Bangladesh.
Number of times India has won the Cricket World Cup,2,titles,Sports,India won in 1983 under Kapil Dev and 2011 under MS Dhoni.
Number of times Pakistan has won the Cricket World Cup,1,title,Sports,Pakistan won in 1992 under Imran Khan's captaincy.
"Most goals scored by Lionel Messi in his career (club + country, 2024)",838,goals,Sports,Messi continues to score for Inter Miami and Argentina.
"Most goals scored by Cristiano Ronaldo in his career (club + country, 2024)",893,goals,Sports,Ronaldo broke the all-time record while playing for Al Nassr in Saudi Arabia.
Year Lionel Messi won his first FIFA World Cup,2022,year,Sports,He led Argentina to victory in Qatar.
Number of Ballon d'Or awards won by Lionel Messi,8,awards,Sports,He holds the record for most Ballon d'Or wins in history.
Number of Ballon d'Or awards won by Cristiano Ronaldo,5,awards,Sports,His latest came in 2017 while playing for Real Madrid.
Year FIFA was officially founded,1904,year,Sports,It was founded in Paris by seven European football associations.
Number of FIFA World Cups won by Brazil (most of any nation),5,titles,Sports,"Brazil won in 1958, 1962, 1970, 1994, and 2002."
Number of FIFA World Cups won by Germany,4,titles,Sports,"Germany won in 1954, 1974, 1990, and 2014."
Year Pele won his first FIFA World Cup,1958,year,Sports,He was just 17 years old when Brazil won in Sweden.
Year Diego Maradona's 'Hand of God' goal against England occurred,1986,year,Sports,He scored both that goal and the 'Goal of the Century' in the same match.
Number of UEFA Champions League titles won by Lionel Messi,4,titles,Sports,All four were won with FC Barcelona between 2006 and 2015.
Number of Premier League titles won by Manchester United (record),13,titles,Sports,Most titles were won under Sir Alex Ferguson between 1992 and 2013.
Year the first FIFA Women's World Cup was held,1991,year,Sports,"Held in China, the United States won the inaugural tournament."
Number of FIFA Women's World Cups won by the USA,4,titles,Sports,The USA has won more Women's World Cups than any other country.
Year Inter Miami signed Lionel Messi,2023,year,Sports,His move to MLS dramatically boosted American interest in soccer.
Number of goals Cristiano Ronaldo scored at the 2018 World Cup,4,goals,Sports,He scored a hat-trick against Spain in the group stage opener.
Seating capacity of Wembley Stadium in London,90000,seats,Sports,Wembley is the second-largest stadium in Europe after Camp Nou.
Seating capacity of the Maracana stadium in Rio de Janeiro (current) (2024),78838,seats,Sports,"Originally built for 200,000 fans in 1950, it was reduced after renovations."
Seating capacity of the Narendra Modi Stadium in India (largest cricket stadium),132000,seats,Sports,"It is the largest cricket stadium in the world, located in Ahmedabad."
Seating capacity of Old Trafford in Manchester,74310,seats,Sports,"Known as the 'Theatre of Dreams', it is Manchester United's home ground."
Seating capacity of the MCG (Melbourne Cricket Ground),100024,seats,Sports,The MCG is the largest cricket stadium in Australia and 11th largest sports stadium in the world.
Number of teams that participated in the 2022 FIFA World Cup,32,teams,Sports,The format expands to 48 teams starting in 2026.
Number of teams that will participate in the 2026 FIFA World Cup,48,teams,Sports,"It's the first World Cup co-hosted by three countries: USA, Mexico, and Canada."
Number of teams in the UEFA Champions League group stage (until 2023),32,teams,Sports,"From 2024, the format changed to a 36-team league phase."
Number of teams in the UEFA Champions League league phase (2024 onwards),36,teams,Sports,The new format replaces the group stage with a single league table.
Year the African Cup of Nations was first held,1957,year,Sports,Only three teams participated in the inaugural edition in Sudan.
Year Copa America was first held (oldest international football tournament),1916,year,Sports,It pre-dates the FIFA World Cup by 14 years.
Year Bangladesh became a full ICC member with Test status,2000,year,Sports,Bangladesh became the 10th Test-playing nation that year.
Year Ahsan Manzil (the Pink Palace) was built in Old Dhaka,1872,year,Desh,It was the official residence of the Nawab of Dhaka.
Year the historic Star Mosque (Tara Masjid) was renovated with star motifs,1926,year,Desh,Mirza Ghulam Pir originally built the mosque in the 19th century.
Year the Curzon Hall of Dhaka University was originally built,1904,year,Desh,Lord Curzon laid its foundation as a town hall during British rule.
Year the University of Dhaka was officially established,1921,year,Desh,It was once known as the 'Oxford of the East' during British rule.
Year Bangabandhu Sheikh Mujibur Rahman gave his historic March 7 speech,1971,year,Desh,The speech at Suhrawardy Udyan is on UNESCO's Memory of the World Register.
Year UNESCO included Bangabandhu's March 7 speech in its Memory of the World Register,2017,year,Desh,The speech is one of the most important political speeches of the 20th century.
Year construction of the Bangabandhu Bridge over Jamuna river began,1994,year,Desh,It was the first bridge over the Jamuna river when it opened in 1998.
Length of the Bangabandhu (Jamuna) Bridge in meters,4800,meters,Desh,It was the 12th longest bridge in the world when completed in 1998.
Length of the Padma river within Bangladesh in km,120,km,Desh,It is the main distributary of the Ganges as it flows through Bangladesh.
Length of the Meghna river in km (total),264,km,Desh,It is one of the major rivers forming the Bangladesh delta.
Number of major rivers in Bangladesh (officially recognized),405,rivers,Desh,The Bangladesh Water Development Board recognizes 405 rivers as 'major'.
"Year Cyclone Bhola struck East Pakistan (Bangladesh) killing 300,000+",1970,year,Desh,It is considered the deadliest tropical cyclone in recorded history.
Year Cyclone Sidr struck Bangladesh,2007,year,Desh,It was one of the strongest cyclones to hit Bangladesh in decades.
Year Bangladesh became the world's second largest garment exporter,2010,year,Desh,Bangladesh overtook countries like Vietnam and Turkey in RMG exports.
Percent of Bangladesh's total exports that come from RMG (garments),84,percent,Desh,"Garments dominate Bangladesh's export economy, with the rest from leather, jute, and seafood."
Year the Bangladesh Bank cyber heist took place (Federal Reserve hack),2016,year,Desh,Hackers stole $81 million from the Bangladesh Bank's account at the NY Fed.
Height of the Liberation War Memorial Tower at Suhrawardy Udyan in feet,150,feet,Desh,The Shikha Chironton (Eternal Flame) burns there in honor of the martyrs.
Number of pillars holding up the iconic Shikha Chironton at Suhrawardy Udyan,7,pillars,Desh,The seven pillars symbolize the seven Bir Sreshtho gallantry award recipients.
Year construction of the National Martyrs' Memorial at Savar was completed,1982,year,Desh,"Designed by Syed Mainul Hossain, who was just 25 when he won the design contest."
Year the National Botanical Garden at Mirpur was established,1961,year,Desh,It is the largest plant conservation center in Bangladesh.
Year the Dhaka Zoo officially opened to the public at Mirpur,1974,year,Desh,It is officially named the Bangladesh National Zoo.
Highest individual T20I score by a Bangladeshi cricketer,103,runs,Desh,Tamim Iqbal scored 103* against Oman in 2016.
Year Shakib Al Hasan became the world's #1 ranked ODI all-rounder,2009,year,Desh,He held the top spot in all three formats at various points in his career.
Year Bangladesh hosted the ICC Cricket World Cup (jointly),2011,year,Desh,They co-hosted with India and Sri Lanka.
Cost of a 1kg packet of Marks Full Cream Milk Powder in BD (2024),870,BDT,Price,Marks is a popular powdered milk brand in Bangladesh.
Price of a 250g packet of Pran Mr. Cookie biscuits in BD (2024),60,BDT,Price,Pran is one of the largest food brands in Bangladesh.
Price of a single Igloo ice cream cone (Chocobar) in BD (2024),30,BDT,Price,Igloo is owned by Abdul Monem Limited and is a household name.
Cost of 1 dozen Cox's Bazar 'Loitta' fish dried (small) in BD (2024),600,BDT,Price,Loitta shutki (Bombay duck) is a Bengali delicacy.
Cost of a single 'Rosogolla' at a Dhaka sweet shop (2024),25,BDT,Price,Rosogolla is one of the most popular Bengali sweets.
Price of an electric rickshaw battery replacement set in BD (2024),25000,BDT,Price,Battery costs are the biggest recurring expense for e-rickshaw owners.
Annual SIM tax for a postpaid mobile in BD (2024),300,BDT,Price,The SIM replacement tax was introduced by the National Board of Revenue.
Average price of 1 ton of A1 jute fiber in BD in 2024 (rounded thousand),80,thousand BDT,Price,Jute prices fluctuate based on global demand for natural fibers.
"Cost of a 1-year passport (regular delivery, 48 pages) in BD (2024)",5750,BDT,Price,MRP and e-passports have replaced older paper passports.
"Cost of an e-passport (10-year, regular delivery) in BD (2024)",8050,BDT,Price,Bangladesh introduced e-passports in 2020.
Driving license fee for a non-professional license in BD (2024),4152,BDT,Price,The BRTA fee includes both learner's permit and full license issuance.
Average cost of a US passport book renewal in USD (2024),130,USD,Price,Adult passport renewals cost less than first-time applications.
Average cost of a one-way Amtrak ticket NYC to DC (2024),80,USD,Price,Amtrak's Acela Express is the premium high-speed service on this route.
Average price of a NYC yellow cab ride 3 miles (2024),18,USD,Price,Yellow cabs have largely been replaced by ride-share apps in NYC.
Cost of a 5lb bag of Costco rotisserie chicken meat (2024),5,USD,Price,Costco famously keeps the rotisserie chicken at $4.99 despite inflation.
Launch price of the iPad Pro 11-inch (2024 M4 model),999,USD,Price,Apple launched the M4 chip first in the iPad Pro before any Mac.
Launch price of the original iPad Mini in 2012,329,USD,Price,It was the first smaller iPad after the original 9.7-inch model.
Launch price of the Microsoft HoloLens (developer edition) in USD (2024),3000,USD,Price,Microsoft's mixed reality headset launched as developer-only in 2016.
Launch price of the Nintendo Wii in USD (2006),249,USD,Price,The motion-controlled console outsold both the PS3 and Xbox 360 worldwide.
Launch price of the original PlayStation 3 (60GB model) in USD (2006),599,USD,Price,The high price became a major criticism at launch.
Launch price of the iPhone 4 in USD on contract (2010),199,USD,Price,The contract-based pricing for smartphones was standard at the time.
Launch price of the Microsoft Zune 30GB in USD (2006),249,USD,Price,Microsoft's iPod competitor was discontinued in 2011.
Launch price of the original Samsung Galaxy S in USD (2010),199,USD,Price,It launched the Galaxy series that would become Android's flagship line.
Maximum recorded height of a tsunami wave in feet (1958 Lituya Bay),1720,feet,Weird Facts,The Alaska megatsunami remains the tallest wave ever measured.
Maximum number of times the human heart beats per day,100000,times,Weird Facts,"A heart pumps about 2,000 gallons of blood every single day."
Number of countries Coca-Cola is officially sold in,200,countries,Weird Facts,Coca-Cola is sold in more countries than there are UN members.
Year the QWERTY keyboard layout was invented,1873,year,Weird Facts,Christopher Sholes designed it to slow down typists and prevent typewriter jams.
Maximum recorded age of a domestic cat (Creme Puff),38,years,Weird Facts,"Creme Puff of Austin, Texas lived from 1967 to 2005."
Maximum recorded age of a domestic dog (Bobi),31,years,Weird Facts,"Bobi, a Portuguese Rafeiro do Alentejo, died in 2023."
"Number of legs a centipede actually has (varies by species, max recorded)",750,legs,Weird Facts,"Despite the name 'centi-pede', no species has exactly 100 legs."
Number of bones in a snake's body (average),400,bones,Weird Facts,Most of these are vertebrae and connected ribs along the entire body.
Maximum speed of a sneeze in mph (commonly cited),100,mph,Weird Facts,More recent studies suggest the real speed is closer to 10 mph.
Maximum number of bubbles in a 1 liter bottle of Champagne (avg),50000000,bubbles,Weird Facts,Around 50 million bubbles will rise from a bottle of champagne.
Maximum recorded human pregnancy duration in days,375,days,Weird Facts,"The longest verified pregnancy was 375 days, recorded in 1945."
Year the first selfie was ever taken (Robert Cornelius),1839,year,Weird Facts,Cornelius took a self-portrait daguerreotype outside his family's store in Philadelphia.
Year the first email was ever sent,1971,year,Weird Facts,Ray Tomlinson sent the first email between computers on ARPANET.
Number of people Genghis Khan is genetically the ancestor of (millions),16,million,Weird Facts,About 1 in 200 men alive today carry Genghis Khan's Y-chromosome lineage.
